Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,4,4,1,1,2,6,0,139,0,0.7777778,
18,15,16,3,3,6,6,139,651,1,1.209069,
17,2,2,0,0,1,6,651,688,0,0.6833818,
16,15,16,2,2,6,6,688,1235,1,1.545479,
15,2,2,0,0,1,6,1235,1332,0,0.669628,
14,6,6,0,0,3,6,1332,1427,0,0.7778556,
13,5,5,0,0,2,6,1427,1536,0,0.7225839,
12,4,4,3,4,2,6,1536,1700,0,0.627451,
11,5,5,0,0,2,6,1700,1841,0,0.7182087,
10,5,5,3,3,2,6,1841,2067,0,0.6927377,
9,1,1,0,0,0,6,2067,2149,0,0.9618427,
8,10,11,3,3,3,6,2149,2488,0,0.6936142,
7,3,3,0,1,1,6,2488,2611,0,0.370569,
6,4,4,1,1,2,6,2611,2675,0,0.7591693,
5,3,3,0,0,1,6,2675,2761,0,0.6997263,
4,7,7,0,0,2,6,2761,2882,0,0.745123,
3,4,4,0,1,1,6,2882,2957,0,0.3790253,
2,8,8,0,0,3,6,2957,3231,0,0.7626638,
1,7,7,0,0,3,6,3231,3350,0,0.8037313,
0,6,6,2,2,3,6,3350,3560,0,0.7841761,
