Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,15,19,0,0,6,6,0,173,1,1.929825,
18,3,4,0,0,1,6,173,214,0,0.516485,
17,15,23,0,0,6,6,214,417,1,1.453689,
16,15,20,0,0,6,6,417,703,1,1.543741,
15,15,23,0,0,6,6,703,1022,1,1.608114,
14,12,15,0,0,4,6,1022,1202,0,0.6990941,
13,8,11,0,0,3,6,1202,1341,0,0.6654691,
12,15,21,0,0,6,6,1341,1629,1,1.744804,
11,11,17,0,0,4,6,1629,1769,0,0.7102051,
10,15,19,0,0,6,6,1769,2056,1,1.800029,
9,15,21,0,0,6,6,2056,2337,1,1.795974,
8,15,20,0,0,6,6,2337,2578,1,1.830974,
7,15,21,0,0,6,6,2578,2818,1,1.827706,
6,8,11,0,0,3,6,2818,2992,0,0.6992486,
5,15,20,0,0,6,6,2992,3325,1,1.824862,
4,15,19,0,0,6,6,3325,3547,1,1.871629,
3,15,21,0,0,6,6,3547,3912,1,1.820345,
2,15,21,0,0,6,6,3912,4085,1,1.866445,
1,3,5,0,0,1,6,4085,4125,0,0.5831785,
0,15,20,0,0,6,6,4125,4294,1,1.880589,
