Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,14,14,0,0,5,6,0,270,0,0.9444444,
18,15,51,0,4,6,6,270,923,1,1.126187,
17,15,22,0,3,6,6,923,1212,1,1.42693,
16,15,30,0,0,6,6,1212,1566,1,1.644955,
15,7,9,0,0,3,6,1566,1619,0,0.734404,
14,15,20,0,1,6,6,1619,1880,1,1.502349,
13,15,22,0,0,6,6,1880,2077,1,1.809151,
12,15,29,0,3,6,6,2077,2668,1,1.393717,
11,15,26,0,1,6,6,2668,2886,1,1.485936,
10,15,19,0,0,6,6,2886,3021,1,1.888273,
9,15,25,0,1,6,6,3021,3367,1,1.478527,
8,2,5,0,0,0,6,3367,3426,0,0.786223,
7,4,8,0,1,2,6,3426,3540,0,0.2688324,
6,15,32,0,0,6,6,3540,3918,1,1.743523,
5,11,23,0,0,3,6,3918,4103,0,0.6296877,
4,12,16,0,0,4,6,4103,4248,0,0.7780589,
3,12,18,0,0,4,6,4248,4484,0,0.7368422,
2,9,12,0,0,4,6,4484,4627,0,0.7806594,
1,12,15,0,1,5,6,4627,4789,0,0.5260272,
0,15,24,0,1,6,6,4789,5106,1,1.508038,
