Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
19,15,21,0,0,6,6,0,321,1,1.904762,
18,15,20,0,0,6,6,321,688,1,1.427689,
17,12,17,2,2,4,6,688,850,0,0.640123,
16,5,6,2,3,1,6,850,873,0,0.5409189,
15,15,20,0,0,6,6,873,1212,1,1.660272,
14,15,20,0,0,6,6,1212,1715,1,1.647813,
13,15,20,0,0,6,6,1715,1953,1,1.804958,
12,15,21,0,0,6,6,1953,2226,1,1.793801,
11,15,21,0,0,6,6,2226,2499,1,1.805922,
10,15,19,0,0,6,6,2499,2674,1,1.868972,
9,1,1,0,0,0,6,2674,2697,0,0.991472,
8,7,9,2,2,2,6,2697,2853,0,0.6652257,
7,12,17,0,0,5,6,2853,3001,0,0.8046632,
6,10,13,2,2,3,6,3001,3164,0,0.7174422,
5,15,24,1,1,6,6,3164,3318,1,1.834388,
4,15,19,0,0,6,6,3318,3539,1,1.87176,
3,15,21,0,0,6,6,3539,3989,1,1.802696,
2,15,20,0,0,6,6,3989,4277,1,1.854941,
1,7,10,0,0,3,6,4277,4453,0,0.7043492,
0,15,20,0,0,6,6,4453,5020,1,1.813131,
